"Common Skill","Difference","AbsoluteDifference","Group"
"React.js",38.5732496671003,0.385732496671003,"With MC"
"Node.js",30.1693588496472,0.301693588496472,"With MC"
"Web Development",29.5502484968819,0.295502484968819,"With MC"
"Cascading Style Sheets (CSS)",29.405045447295,0.29405045447295,"With MC"
"Express.js",24.5031811814192,0.245031811814192,"With MC"
"Java",-30.7176724979061,0.307176724979061,"Without MC"
"C++",-21.7793023124148,0.217793023124148,"Without MC"
"C#",-16.9829441932865,0.169829441932865,"Without MC"
"C (Programming Language)",-16.8050022218237,0.168050022218237,"Without MC"
"Software Development",-12.6738146070396,0.126738146070396,"Without MC"
