"Field of Study","Difference","AbsoluteDifference","Group","Broad Field of Study","Study_Field_and_Broad"
"Computational Science",-16,0.155621671094574,"Without MC","STEM","Computational Science
(STEM)"
"Computer Engineering",-6,0.0644416808303829,"Without MC","STEM","Computer Engineering
(STEM)"
"Computer Engineering Technologies/Technicians",-6,0.0590364914526068,"Without MC","STEM","Computer Engineering Technologies/Technicians
(STEM)"
"Computer Engineering Technology/Technician",-6,0.0578444668316437,"Without MC","STEM","Computer Engineering Technology/Technician
(STEM)"
"Computer Science",-18,0.175143149831574,"Without MC","STEM","Computer Science
(STEM)"
"Computer Software Engineering",3,0.0324811205943346,"With MC","STEM","Computer Software Engineering
(STEM)"
"Design and Visual Communications, General",12,0.1169372983427,"With MC","BHASE","Design and Visual Communications, General
(BHASE)"
"Development Studies",4,0.0418572498642418,"With MC","BHASE","Development Studies
(BHASE)"
"Web Page, Digital/Multimedia and Information Resources Design",5,0.0476645570625392,"With MC","STEM","Web Page, Digital/Multimedia and Information Resources Design
(STEM)"
"Web/Multimedia Management and Webmaster",41,0.407888996771955,"With MC","STEM","Web/Multimedia Management and Webmaster
(STEM)"
