Industry,Professionals,ICT
Computer Software,"2,922",1
Information Technology & Services,"2,371",1
Banking,"1,747",0
Higher Education,"1,036",0
Internet,745,1
Insurance,710,0
Telecommunications,584,1
Financial Services,532,0
Research,507,0
Government Administration,480,0
Marketing & Advertising,383,0
Management Consulting,329,0
Hospital & Health Care,322,0
Capital Markets,311,0
Retail,272,0
Investment Management,226,0
Biotechnology,224,0
Oil & Energy,206,0
Information Services,184,1
Computer & Network Security,162,1
Mining & Metals,154,0
E-learning,145,1
Semiconductors,140,1
Automotive,130,0
Apparel & Fashion,129,0
Computer Networking,123,1
Aviation & Aerospace,120,0
Investment Banking,112,0
Non-profit Organization Management,111,0
Legal Services,109,0
Medical Device,108,0
Real Estate,99,0
Transportation/Trucking/Railroad,88,0
Utilities,84,0
Mobile Games,75,1
Entertainment,75,0
Sports,74,0
Computer Games,74,1
Airlines/Aviation,72,0
Consumer Electronics,70,1
Renewables & Environment,67,0
Education Management,61,0
"Health, Wellness & Fitness",58,0
Electrical & Electronic Manufacturing,58,1
Food Production,57,0
Professional Training & Coaching,55,0
Accounting,54,0
Military,50,0
Environmental Services,48,0
Market Research,48,0
Staffing & Recruiting,48,0
Pharmaceuticals,46,0
Chemicals,45,0
Construction,40,0
Broadcast Media,40,0
Logistics & Supply Chain,40,0
Machinery,39,0
Industrial Automation,39,0
Defense & Space,38,0
Consumer Services,38,0
Civic & Social Organization,36,0
"Leisure, Travel & Tourism",34,0
Mechanical Or Industrial Engineering,33,0
Wine & Spirits,32,0
Computer Hardware,32,1
Civil Engineering,30,0
Publishing,30,0
Supermarkets,29,0
Farming,28,0
Restaurants,27,0
Online Media,26,1
Consumer Goods,26,0
Venture Capital & Private Equity,25,0
Program Development,24,0
Hospitality,23,0
Public Policy,22,0
Design,22,0
Photography,20,0
Gambling & Casinos,20,0
Public Safety,20,0
Paper & Forest Products,20,0
Music,19,0
Wholesale,19,0
Outsourcing/Offshoring,19,0
Package/Freight Delivery,18,0
Media Production,18,1
Human Resources,17,0
Mental Health Care,17,0
Security & Investigations,16,0
Think Tanks,16,0
Medical Practice,15,0
Public Relations & Communications,12,0
Wireless,12,1
Food & Beverages,11,0
Translation & Localization,10,0
Philanthropy,9,0
Law Enforcement,8,0
Individual & Family Services,8,0
Primary/Secondary Education,8,0
Textiles,6,0
Building Materials,1,0
Cosmetics,1,0
Fishery,1,0
"Glass, Ceramics & Concrete",1,0
Luxury Goods & Jewelry,1,0
Maritime,1,0
Motion Pictures & Film,1,1
Plastics,1,0
Shipbuilding,1,0
Writing & Editing,1,0
Architecture & Planning,1,1
Arts & Crafts,1,0
Facilities Services,1,0
Law Practice,1,0
Performing Arts,1,0
Philanthropy,1,0
Veterinary,1,0
