"Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by provinces and territories, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0325-01 (formerly CANSIM 285-0001)"
"Release date: 2023-06-20"
"Geography: Canada, Province or territory, Economic region"
""
""

"Geography 3","Statistics","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023"
"Canada",,"Number",,,,
,"Job vacancies 4","890,385A","1,031,955A","991,680A","855,890A","781,205A"
,"Payroll employees 5","16,169,160A","16,465,185A","16,835,515A","17,068,765A","16,865,200A"
,,"Percentage",,,,
,"Job vacancy rate 6","5.2A","5.9A","5.6A","4.8A","4.4A"
,,"Dollars",,,,
,"Average offered hourly wage 7","24.20A","24.05A","24.20A","24.90A","25.40A"
"Newfoundland and Labrador",,"Number",,,,
,"Job vacancies 4","6,390A","9,210A","8,185A","6,890B","5,795B"
,"Payroll employees 5","186,550A","195,250A","210,735A","201,965A","193,395A"
,,"Percentage",,,,
,"Job vacancy rate 6","3.3A","4.5A","3.7A","3.3A","2.9B"
,,"Dollars",,,,
,"Average offered hourly wage 7","21.45A","20.60A","22.30A","22.60A","24.40A"
"Prince Edward Island",,"Number",,,,
,"Job vacancies 4","3,020B","4,520B","4,090B","3,370B","3,010C"
,"Payroll employees 5","61,675A","65,620A","72,135A","70,365A","64,600A"
,,"Percentage",,,,
,"Job vacancy rate 6","4.7B","6.4B","5.4B","4.6B","4.5C"
,,"Dollars",,,,
,"Average offered hourly wage 7","19.90A","19.00A","19.50A","20.70A","22.25A"
"Nova Scotia",,"Number",,,,
,"Job vacancies 4","18,375A","23,360A","22,960A","21,700A","18,765A"
,"Payroll employees 5","395,770A","406,950A","419,620A","419,140A","412,560A"
,,"Percentage",,,,
,"Job vacancy rate 6","4.4A","5.4A","5.2A","4.9A","4.4A"
,,"Dollars",,,,
,"Average offered hourly wage 7","20.90A","20.50A","20.80A","21.85A","22.75A"
"New Brunswick",,"Number",,,,
,"Job vacancies 4","13,600A","17,165A","16,430A","13,840A","12,560A"
,"Payroll employees 5","301,865A","309,220A","330,580A","326,895A","314,390A"
,,"Percentage",,,,
,"Job vacancy rate 6","4.3A","5.3A","4.7A","4.1A","3.8A"
,,"Dollars",,,,
,"Average offered hourly wage 7","20.45A","20.35A","20.90A","20.75A","22.40A"
"Quebec",,"Number",,,,
,"Job vacancies 4","224,370A","254,475A","246,230A","208,795A","196,510A"
,"Payroll employees 5","3,656,110A","3,748,855A","3,820,720A","3,870,040A","3,794,630A"
,,"Percentage",,,,
,"Job vacancy rate 6","5.8A","6.4A","6.1A","5.1A","4.9A"
,,"Dollars",,,,
,"Average offered hourly wage 7","23.15A","22.80A","23.70A","24.00A","24.65A"
"Ontario",,"Number",,,,
,"Job vacancies 4","336,760A","387,235A","372,075A","323,100A","279,725A"
,"Payroll employees 5","6,283,560A","6,379,155A","6,512,280A","6,625,010A","6,564,190A"
,,"Percentage",,,,
,"Job vacancy rate 6","5.1A","5.7A","5.4A","4.7A","4.1A"
,,"Dollars",,,,
,"Average offered hourly wage 7","25.10A","24.95A","24.65A","25.55A","26.15A"
"Manitoba",,"Number",,,,
,"Job vacancies 4","27,520A","29,980A","32,290A","25,855A","28,140A"
,"Payroll employees 5","585,790A","589,345A","600,580A","610,410A","602,865A"
,,"Percentage",,,,
,"Job vacancy rate 6","4.5A","4.8A","5.1A","4.1A","4.5A"
,,"Dollars",,,,
,"Average offered hourly wage 7","21.60A","20.65A","21.60A","21.95A","22.25A"
"Saskatchewan",,"Number",,,,
,"Job vacancies 4","20,245A","25,295A","25,445A","23,500A","23,205A"
,"Payroll employees 5","465,370A","468,270A","473,415A","485,555A","481,405A"
,,"Percentage",,,,
,"Job vacancy rate 6","4.2A","5.1A","5.1A","4.6A","4.6A"
,,"Dollars",,,,
,"Average offered hourly wage 7","22.15A","22.00A","22.45A","22.10A","23.40A"
"Alberta",,"Number",,,,
,"Job vacancies 4","88,165A","107,740A","103,380A","93,210A","86,655A"
,"Payroll employees 5","1,901,715A","1,932,895A","1,984,925A","2,007,845A","1,999,585A"
,,"Percentage",,,,
,"Job vacancy rate 6","4.4A","5.3A","5.0A","4.4A","4.2A"
,,"Dollars",,,,
,"Average offered hourly wage 7","25.00A","24.10A","24.80A","25.35A","25.60A"
"British Columbia",,"Number",,,,
,"Job vacancies 4","149,190A","169,280A","156,645A","132,305A","123,600A"
,"Payroll employees 5","2,277,925A","2,315,910A","2,353,935A","2,394,565A","2,381,510A"
,,"Percentage",,,,
,"Job vacancy rate 6","6.1A","6.8A","6.2A","5.2A","4.9A"
,,"Dollars",,,,
,"Average offered hourly wage 7","25.00A","25.80A","25.45A","26.55A","26.50A"
"Yukon",,"Number",,,,
,"Job vacancies 4","1,165B","1,735B","1,720B","1,290C","1,190C"
,"Payroll employees 5","17,495A","17,840A","19,495A","19,230A","18,330A"
,,"Percentage",,,,
,"Job vacancy rate 6","6.3B","8.9B","8.1B","6.3C","6.1C"
,,"Dollars",,,,
,"Average offered hourly wage 7","26.85A","26.90A","26.20A","28.70B","28.90A"
"Northwest Territories",,"Number",,,,
,"Job vacancies 4","1,170B","1,375D","1,820D","1,525D","1,410C"
,"Payroll employees 5","20,515A","20,755A","21,780B","21,775B","22,045A"
,,"Percentage",,,,
,"Job vacancy rate 6","5.4B","6.2C","7.7D","6.5D","6.0C"
,,"Dollars",,,,
,"Average offered hourly wage 7","31.90A","30.95C","31.15C","32.70C","36.50B"
"Nunavut",,"Number",,,,
,"Job vacancies 4","415C","585B","405C","530C","640C"
,"Payroll employees 5","14,825A","15,125A","15,315A","15,980A","15,690A"
,,"Percentage",,,,
,"Job vacancy rate 6","2.7C","3.7B","2.6C","3.2C","3.9C"
,,"Dollars",,,,
,"Average offered hourly wage 7","30.25A","29.55A","35.15A","34.25A","36.70A"

Symbol legend:
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"An economic region (ER) is a grouping of complete census divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. Canada has 76 ERs that are classified in accordance with the <a href="https://www150.statcan.gc.ca/n1/en/catalogue/12-571-X2016001">Standard Geographical Classification (SGC) 2016</a>, which is based on 2016 Census boundaries. The Job Vacancy and Wage Survey (JVWS) publishes estimates for 69 ERs, seven of which are combined. These seven combined ERs are the same as those published by the Labour Force Survey. Maps illustrating the ERs, as well as a table showing the census metropolitan areas (CMAs) and census agglomerations (CAs) within each ER, are available by selecting the “JVWS Geographical Maps” link at the bottom of the JVWS survey page (<a href="http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5217">5217</a>)."
4,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
5,"The 'employee' concept used in the Job Vacancy and Wage Survey (JVWS) is comprised of full-time employees, part-time employees, as well as permanent, casual, temporary, and seasonal employees. It also includes working owners, directors, partners, and other officers of incorporated businesses, as well as employees who work at home or on the road but report to the location. The ‘employee' concept used in the JVWS is meant to exclude owners or partners of unincorporated businesses and professional practices, the self-employed, subcontractors, external consultants, unpaid family workers, persons working outside Canada, and military personnel. It also excludes employees on unpaid leave, such as those on extended sick leave who are receiving insurance benefits. The employment estimates from the JVWS are calibrated to the employment estimates from the <a href="http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2612">Survey of Employment, Payrolls and Hours</a> (SEPH) at the North American Industry Classification System sector (NAICS2) level by province."
6,"The job vacancy rate is the number of job vacancies expressed as a percentage of labour demand; that is, all occupied and vacant jobs."
7,"The average hourly wage offered by employers for vacant positions. It excludes overtime, tips, commissions and bonuses. Salaries are converted to hourly wages based on information regarding the frequency of pay and the expected average number of hours worked per week. The offered wage may be different from the actual wage paid once the position is filled. If the salary is different among the job vacancies for the same occupation, the respondent is asked to report the lowest wage or salary. When the compensation advertised for the job vacancy is in the form of a salary range or an hourly pay range, the respondent is asked to report the lowest value of the range. If the work will be paid based on, for example, the number of parts produced, mileage or the number of times a task is performed, the respondent is asked to report the expected minimum salary."



"How to cite: Statistics Canada. Table 14-10-0325-01  Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by provinces and territories, quarterly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032501
