"Job vacancies and average offered hourly wage by occupation (minor group), quarterly, unadjusted for seasonality 1 2",,,,,
Frequency: Quarterly,,,,,
Table: 14-10-0356-02,,,,,
Release date: 2023-06-20,,,,,
"Geography: Canada, Province or territory, Economic region",,,,,
,,,,,
,,,,,
,,,,,
Geography 3,Canada,,,,
Statistics,Job vacancies 4,,,,
National Occupational Classification 5,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
"Total, all occupations","890,385A","1,031,955A","991,680A","855,890A","781,205A"
Management occupations  [0],"41,645A","46,935A","44,580A","41,025A","39,585A"
Legislators and senior management  [001],"1,365B","1,435B","1,175B","1,620D","1,145B"
Administrative services managers  [011],"5,100A","5,735A","5,740A","5,515A","6,170B"
Managers in financial and business services  [012],"6,850A","7,650A","6,470A","6,190A","5,995A"
Managers in communication (except broadcasting)  [013],390C,375D,375E,280E,265D
"Managers in engineering, architecture, science and information systems  [021]","4,455A","4,965B","4,395A","4,030B","3,585A"
Managers in health care  [031],830C,"1,025B","1,135B",915E,985B
Managers in public administration  [041],425B,425B,400B,320B,410B
Managers in education and social and community services  [042],"1,590B","1,640B","1,620B","1,730B","1,555B"
Managers in public protection services  [043],80D,70C,30C,35C,75E
"Managers in art, culture, recreation and sport  [051]",560C,820C,755D,590C,610C
Corporate sales managers  [060],"1,910B","1,970B","1,820B","1,460C","1,715C"
Retail and wholesale trade managers  [062],"6,925B","7,665B","8,460B","8,155B","6,960B"
Managers in food service and accommodation  [063],"3,900B","5,355C","4,515B","3,690B","3,400B"
"Managers in customer and personal services, not elsewhere classified (n.e.c.)  [065]",385E,540D,425E,520D,510D
Managers in construction and facility operation and maintenance  [071],"4,270B","4,460B","4,655B","3,375B","3,890B"
Managers in transportation  [073],500D,505D,460D,425D,565E
Managers in natural resources production and fishing  [081],110C,160C,155C,105C,155C
"Managers in agriculture, horticulture and aquaculture  [082]",150E,350D,245E,260E,165D
Managers in manufacturing and utilities  [091],"1,860B","1,790B","1,750B","1,810B","1,435B"
"Business, finance and administration occupations  [1]","102,715A","107,765A","104,840A","96,835A","88,535A"
"Auditors, accountants and investment professionals  [111]","14,360A","14,870A","14,245A","13,035A","10,935A"
Human resources and business service professionals  [112],"14,600A","15,395A","13,155A","13,420B","12,885B"
Administrative services supervisors  [121],"2,960B","2,890B","3,325B","3,020B","2,585B"
Administrative and regulatory occupations  [122],"13,785A","13,265A","13,755A","11,545A","11,775A"
"Office administrative assistants - general, legal and medical  [124]","10,315A","11,110A","11,030A","10,225A","8,865A"
"Court reporters, transcriptionists, records management technicians and statistical officers  [125]",685D,655D,510C,515D,640D
"Finance, insurance and related business administrative occupations  [131]","4,785B","5,500B","5,225B","5,440B","5,230B"
General office workers  [141],"12,825A","15,185A","13,470A","11,170A","11,400A"
Office equipment operators  [142],635D,990D,710D,415D,350D
"Financial, insurance and related administrative support workers  [143]","9,535B","8,665A","9,125A","8,830B","8,280B"
"Library, correspondence and other clerks  [145]","1,190D","1,215D","1,490C","1,455D",960D
Mail and message distribution occupations  [151],x,"6,605C","6,375C","8,250C","6,060D"
"Supply chain logistics, tracking and scheduling co-ordination occupations  [152]",x,"11,420A","12,420A","9,520A","8,565B"
Natural and applied sciences and related occupations  [2],"69,600A","77,920A","66,835A","58,465A","57,130A"
Physical science professionals  [211],"1,020D",710B,720C,645C,760C
Life science professionals  [212],830D,680C,665C,585C,755D
"Civil, mechanical, electrical and chemical engineers  [213]","5,485B","6,705B","5,915B","5,780B","6,390B"
Other engineers  [214],"3,170B","3,610B","3,045B","3,115B","3,390B"
"Architects, urban planners and land surveyors  [215]","1,690C","2,030C","1,645C","1,480C","1,275C"
"Mathematicians, statisticians and actuaries  [216]",300D,405C,320C,425D,345D
Computer and information systems professionals  [217],"32,585A","36,915A","29,830A","26,195A","20,645A"
Technical occupations in physical sciences  [221],"1,895B","1,740B","1,810B","1,635C","1,415B"
Technical occupations in life sciences  [222],"2,300C","2,570C","2,405D","1,080C","1,610D"
"Technical occupations in civil, mechanical and industrial engineering  [223]","5,460B","6,495B","5,840B","5,160B","6,030B"
Technical occupations in electronics and electrical engineering  [224],"2,820B","3,720B","3,425B","2,845B","3,495B"
"Technical occupations in architecture, drafting, surveying, geomatics and meteorology  [225]","3,600B","3,260B","2,865B","2,760B","2,970C"
Other technical inspectors and regulatory officers  [226],"2,335B","2,785B","2,490B","2,070B","2,080B"
Transportation officers and controllers  [227],555D,470C,525D,430D,610C
Technical occupations in computer and information systems  [228],"5,555A","5,815B","5,335B","4,255B","5,355B"
Health occupations  [3],"82,830A","82,130A","96,620A","92,515A","92,180A"
Professional occupations in nursing  [301],"23,620C","24,415B","28,710A","29,005C","29,690A"
"Physicians, dentists and veterinarians  [311]","1,870C","2,045C","1,675C","1,620C","1,415C"
"Optometrists, chiropractors and other health diagnosing and treating professionals  [312]",710C,750C,"1,020C","1,305C","1,255C"
