"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and type of work, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-02"
"Release date: 2023-06-20"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada",,,,
,"Statistics","Job vacancies 3",,,,
"National Occupational Classification 4","Job vacancy characteristics","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023"
,,"Number",,,,
"Total, all occupations 5","Type of work, all types 6 7","890,385A","1,031,955A","991,680A","855,890A","781,205A"
,"Full-time 6","679,380A","783,205A","738,240A","619,980A","590,775A"
,"Part-time 7","211,005A","248,750A","253,435A","235,915A","190,425A"
"Management occupations  [0]","Type of work, all types 6 7","41,645A","46,935A","44,580A","41,025A","39,585A"
,"Full-time 6","40,770A","45,185A","43,125A","39,490A","38,600A"
,"Part-time 7","875C","1,750D","1,450E","1,535E","985C"
"Senior management occupations  [00]","Type of work, all types 6 7","1,365B","1,435B","1,175B","1,620D","1,145B"
,"Full-time 6","1,305B","1,385B","1,170B","1,255C","1,145B"
,"Part-time 7","F","F","F","F","F"
"Specialized middle management occupations  [01-05]","Type of work, all types 6 7","20,270A","22,700A","20,920A","19,610A","19,645A"
,"Full-time 6","20,030A","22,175A","20,395A","19,320A","19,185A"
,"Part-time 7","240D","525D","525E","290D","460D"
"Middle management occupations in retail and wholesale trade and customer services  [06]","Type of work, all types 6 7","13,120A","15,530A","15,220A","13,830A","12,585A"
,"Full-time 6","12,585A","14,595A","14,335A","13,000A","12,130A"
,"Part-time 7","540D","F","F","830D","455D"
"Middle management occupations in trades, transportation, production and utilities  [07-09]","Type of work, all types 6 7","6,890B","7,270B","7,270B","5,970B","6,205A"
,"Full-time 6","6,855B","7,030B","7,225B","5,915B","6,140A"
,"Part-time 7","35E","235E","F","F","F"
"Business, finance and administration occupations  [1]","Type of work, all types 6 7","102,715A","107,765A","104,840A","96,835A","88,535A"
,"Full-time 6","85,915A","90,265A","87,440A","77,940A","74,475A"
,"Part-time 7","16,800B","17,505A","17,400A","18,895A","14,060B"
"Professional occupations in business and finance  [11]","Type of work, all types 6 7","28,960A","30,265A","27,405A","26,455A","23,820A"
,"Full-time 6","27,785A","29,000A","26,425A","25,070A","22,665A"
,"Part-time 7","1,175C","1,265C","980D","1,385D","1,155D"
"Administrative and financial supervisors and administrative occupations  [12]","Type of work, all types 6 7","27,745A","27,920A","28,620A","25,305A","23,865A"
,"Full-time 6","24,670A","24,980A","25,510A","21,430A","21,195A"
,"Part-time 7","3,080B","2,940B","3,105B","3,875B","2,670B"
"Finance, insurance and related business administrative occupations  [13]","Type of work, all types 6 7","4,785B","5,500B","5,225B","5,440B","5,230B"
,"Full-time 6","4,425B","5,055B","4,790B","4,825B","4,660B"
,"Part-time 7","365D","445D","435E","615D","565D"
"Office support occupations  [14]","Type of work, all types 6 7","24,185A","26,060A","24,795A","21,870A","20,990A"
,"Full-time 6","17,175A","18,565A","17,815A","15,430A","15,625A"
,"Part-time 7","7,010B","7,495B","6,980B","6,440B","5,365B"
