"","PC1","PC2","PC3","PC4","PC5"
"2.A.1 Active Listening",-0.129269038165284,-0.0376618119300622,0.065936530591066,-0.12783616543281,0.0940108133327228
"2.A.1 Mathematics",-0.0629619924765251,0.126183827815616,0.15325014511899,0.0371401312895312,0.036655017729037
"2.A.1 Reading Comprehension",-0.129300030542588,0.00306495067499807,0.135277109977553,-0.128285116551902,0.0291574814869895
"2.A.1 Science",-0.0574438682761147,0.126174202330866,0.0846670423519418,-0.180290777973215,0.0517357778006242
"2.A.1 Speaking",-0.140764617482958,-0.0390958351429113,0.0291399357589766,-0.0740644951174602,0.0959413827068899
"2.A.1 Writing",-0.138443439637684,-0.025373352972591,0.109120650931191,-0.0748230237250784,0.032678037544615
"2.A.2 Active Learning",-0.126592807849443,0.0568331099998445,0.103480929070626,-0.126511185901541,0.121187307092179
"2.A.2 Critical Thinking",-0.138209168462325,0.0329773534389892,0.0911756341387915,-0.103355108496951,0.0679608574315803
"2.A.2 Learning Strategies",-0.102572511375742,0.0209077358633673,-0.000762306837896867,-0.159376757788305,0.182199955287114
"2.A.2 Monitoring",-0.134931499876636,0.0268879411649432,-0.016444727493967,-0.0403898170321527,0.138323369759979
"2.B.1 Coordination",-0.114527536917062,0.0711394525143952,-0.0326174803282244,-0.03374031766229,0.170764681419177
"2.B.1 Instructing",-0.09735134062217,0.0454213776860797,-0.0593169469572126,-0.150444121020007,0.157026824189749
"2.B.1 Negotiation",-0.13551768558075,-0.0180379652869032,-0.0207630260472296,0.0592058344801762,0.128317481518022
"2.B.1 Persuasion",-0.138622527009826,-0.0143869093364791,0.00699978454630448,0.000732490967632244,0.137701923046472
"2.B.1 Service Orientation",-0.108263425678552,-0.06845392187076,-0.0542552268311306,-0.0783662060652035,0.114042259849581
"2.B.1 Social Perceptiveness",-0.122705827422018,-0.0885108590344492,-0.0685381867485147,-0.0959919377493741,0.127987411629322
"2.B.2 Complex Problem Solving",-0.126969906613699,0.0960502531578952,0.0968580512145603,-0.0633504952297894,0.0477048023587785
"2.B.3 Equipment Maintenance",0.0665055030896306,0.183125136168372,-0.0825713449498615,-0.0686745403490138,0.0979575466088472
"2.B.3 Equipment Selection",0.00478459656966873,0.177666305423402,0.0338545386513626,-0.0955486873835418,0.20794524256574
"2.B.3 Installation",0.028013972778584,0.18339023681195,0.0207603306338682,-0.0279992879789491,0.120665100393038
"2.B.3 Operation and Control",0.0412415878584241,0.177205886869519,-0.0439618875160716,-0.0709661123754811,0.0166944364379141
"2.B.3 Operation Monitoring",0.0333995662916997,0.187268312864047,-0.0541565597134872,-0.0712037161552728,-0.0508843761280845
"2.B.3 Operations Analysis",-0.0698858060890976,0.122468610953493,0.150151208213879,-0.0145068759401609,0.188857834620963
"2.B.3 Programming",-0.03852691956628,0.0903493605556684,0.196214630867175,-0.0248530168985659,-0.0248386999628867
"2.B.3 Quality Control Analysis",-0.0110333773423061,0.171652286140437,0.0727054497506007,-0.0305360328589618,0.0249157513018893
"2.B.3 Repairing",0.0588426031653118,0.184913313511597,-0.0524574351241213,-0.0371673815286949,0.0893734582612637
"2.B.3 Technology Design",-0.0342815482558959,0.179161214121089,0.133252470378774,-0.0625910966393653,0.13022332313616
