onet,onet_title,noc 2021,noc_title,noc 2016,noc 2016 title,Noc 2006,noc_title_2006
11-1031.00,Legislators,10,Legislators,11,Legislators,A011,Legislators
11-1011.00,Chief Executives,11,Senior government managers and officials,12,Senior government managers and officials,A011,Legislators
11-1011.03,Chief Sustainability Officers,11,Senior government managers and officials,12,Senior government managers and officials,A011,Legislators
11-1021.00,General and Operations Managers,11,Senior government managers and officials,12,Senior government managers and officials,A011,Legislators
11-1011.00,Chief Executives,12,"Senior managers - financial, communications and other business services",13,"Senior managers - financial, communications and other business services",A013,"Senior managers - financial, communications and other business services"
11-1011.03,Chief Sustainability Officers,12,"Senior managers - financial, communications and other business services",13,"Senior managers - financial, communications and other business services",A013,"Senior managers - financial, communications and other business services"
11-1021.00,General and Operations Managers,12,"Senior managers - financial, communications and other business services",13,"Senior managers - financial, communications and other business services",A013,"Senior managers - financial, communications and other business services"
11-1011.00,Chief Executives,13,"Senior managers - health, education, social and community services and membership organizations",14,"Senior managers - health, education, social and community services and membership organizations",A014,"Senior managers - health, education, social and community services and membership organizations"
11-1011.03,Chief Sustainability Officers,13,"Senior managers - health, education, social and community services and membership organizations",14,"Senior managers - health, education, social and community services and membership organizations",A014,"Senior managers - health, education, social and community services and membership organizations"
11-1021.00,General and Operations Managers,13,"Senior managers - health, education, social and community services and membership organizations",14,"Senior managers - health, education, social and community services and membership organizations",A014,"Senior managers - health, education, social and community services and membership organizations"
11-9199.00,"Managers, All Other",13,"Senior managers - health, education, social and community services and membership organizations",14,"Senior managers - health, education, social and community services and membership organizations",A014,"Senior managers - health, education, social and community services and membership organizations"
11-1011.00,Chief Executives,14,"Senior managers - trade, broadcasting and other services",15,"Senior managers - trade, broadcasting and other services, n.e.c.",A015,"Senior managers - trade, broadcasting and other services, n.e.c."
11-1011.03,Chief Sustainability Officers,14,"Senior managers - trade, broadcasting and other services",15,"Senior managers - trade, broadcasting and other services, n.e.c.",A015,"Senior managers - trade, broadcasting and other services, n.e.c."
11-1021.00,General and Operations Managers,14,"Senior managers - trade, broadcasting and other services",15,"Senior managers - trade, broadcasting and other services, n.e.c.",A015,"Senior managers - trade, broadcasting and other services, n.e.c."
11-9171.00,Funeral Service Managers,14,"Senior managers - trade, broadcasting and other services",15,"Senior managers - trade, broadcasting and other services, n.e.c.",A015,"Senior managers - trade, broadcasting and other services, n.e.c."
11-9071.00,Gaming Managers,14,"Senior managers - trade, broadcasting and other services",15,"Senior managers - trade, broadcasting and other services, n.e.c.",A015,"Senior managers - trade, broadcasting and other services, n.e.c."
11-1011.00,Chief Executives,15,"Senior managers - construction, transportation, production and utilities",16,"Senior managers - construction, transportation, production and utilities",A016,"Senior managers - goods production, utilities, transportation and construction"
11-1011.03,Chief Sustainability Officers,15,"Senior managers - construction, transportation, production and utilities",16,"Senior managers - construction, transportation, production and utilities",A016,"Senior managers - goods production, utilities, transportation and construction"
11-1021.00,General and Operations Managers,15,"Senior managers - construction, transportation, production and utilities",16,"Senior managers - construction, transportation, production and utilities",A016,"Senior managers - goods production, utilities, transportation and construction"
11-3031.00,Financial Managers,10010,Financial managers,111,Financial managers,A111,Financial managers
11-3031.01,Treasurers and Controllers,10010,Financial managers,111,Financial managers,A111,Financial managers
11-9199.02,Compliance Managers,10010,Financial managers,111,Financial managers,A111,Financial managers
11-3121.00,Human Resources Managers,10011,Human resources managers,112,Human resources managers,A112,Human resources managers
55-1011.00,Air Crew Officers,10012,Purchasing managers,113,Purchasing managers,A113,Purchasing managers
55-1012.00,Aircraft Launch and Recovery Officers,10012,Purchasing managers,113,Purchasing managers,A113,Purchasing managers
55-1013.00,Armored Assault Vehicle Officers,10012,Purchasing managers,113,Purchasing managers,A113,Purchasing managers
55-1014.00,Artillery and Missile Officers,10012,Purchasing managers,113,Purchasing managers,A113,Purchasing managers
55-1015.00,Command and Control Center Officers,10012,Purchasing managers,113,Purchasing managers,A113,Purchasing managers
55-1016.00,Infantry Officers,10012,Purchasing managers,113,Purchasing managers,A113,Purchasing managers
55-1017.00,Special Forces Officers,10012,Purchasing managers,113,Purchasing managers,A113,Purchasing managers
55-1019.00,"Military Officer Special and Tactical Operations Leaders, All Other",10012,Purchasing managers,113,Purchasing managers,A113,Purchasing managers
11-3061.00,Purchasing Managers,10012,Purchasing managers,113,Purchasing managers,A113,Purchasing managers
11-3071.04,Supply Chain Managers,10012,Purchasing managers,113,Purchasing managers,A113,Purchasing managers
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",10019,Other administrative services managers,114,Other administrative services managers,A114,Other administrative services managers
11-3012.00,Administrative Services Managers,10019,Other administrative services managers,114,Other administrative services managers,A114,Other administrative services managers
11-3031.00,"Financial Managers, Branch or Department",10020,"Insurance, real estate and financial brokerage managers",121,"Insurance, real estate and financial brokerage managers",A301,"Insurance, real estate and financial brokerage managers"
41-9021.00,Real Estate Brokers,10020,"Insurance, real estate and financial brokerage managers",121,"Insurance, real estate and financial brokerage managers",A301,"Insurance, real estate and financial brokerage managers"
41-3021.00,Insurance Sales Agents,10020,"Insurance, real estate and financial brokerage managers",121,"Insurance, real estate and financial brokerage managers",A301,"Insurance, real estate and financial brokerage managers"
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",10020,"Insurance, real estate and financial brokerage managers",121,"Insurance, real estate and financial brokerage managers",A301,"Insurance, real estate and financial brokerage managers"
11-3031.00,"Financial Managers, Branch or Department",10021,"Banking, credit and other investment managers",122,"Banking, credit and other investment managers",A302,"Banking, credit and other investment managers"
11-3031.03,Investment Fund Managers,10021,"Banking, credit and other investment managers",122,"Banking, credit and other investment managers",A302,"Banking, credit and other investment managers"
11-2011.00,Advertising and Promotions Managers,10022,"Advertising, marketing and public relations managers",124,"Advertising, marketing and public relations managers",A131,"Sales, marketing and advertising managers"
13-1161.01,Search Marketing Strategists,10022,"Advertising, marketing and public relations managers",124,"Advertising, marketing and public relations managers",A131,"Sales, marketing and advertising managers"
