"noc_2021","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
11,9.55596666666667,5.75945555555556,3.567,1.83054444444444,1.31111111111111,14.8472222222222,178.5,153.5,265.5,158.5,209.5,130.5,174.314133710485,165.982043717272,186.455471323074,0,NA,NA,"11",""
12,9.55596666666667,5.75945555555556,3.567,1.83054444444444,1.31111111111111,14.8472222222222,178.5,153.5,265.5,158.5,209.5,130.5,174.314133710485,165.982043717272,186.455471323074,0,NA,NA,"12",""
13,9.55596666666667,5.75945555555556,3.567,1.83054444444444,1.31111111111111,14.8472222222222,178.5,153.5,265.5,158.5,209.5,130.5,174.314133710485,165.982043717272,186.455471323074,0,NA,NA,"13",""
14,11.41992,4.324464,3.48472,1.402448,1.211504,14.951616,260,172,200,153,257,138,186.621659830479,163.644545364757,200.349695895324,0,NA,NA,"14",""
15,9.55596666666667,5.75945555555556,3.567,1.83054444444444,1.31111111111111,14.8472222222222,178.5,153.5,265.5,158.5,209.5,130.5,174.314133710485,165.982043717272,186.455471323074,0,NA,NA,"15",""
10010,11.4726888888889,1.75666666666667,2.40588888888889,1.01187777777778,1.19277777777778,19.1833777777778,353,173,197,50,387,267,151.748920524832,117.175537883046,139.634954692401,0,NA,NA,"1001","0"
10011,8.451,1.1537,1.8616,1.54,2.415,11.7504,229,68.5,309,252,427,344,192.618287815539,163.496098851589,176.984011469457,0,NA,NA,"1001","1"
10012,13.635525,6.85,5.495425,2.5,1.75,15.34,97,99,113,140,177,62,104.240497460443,95.8378937774958,119.943806134346,0,NA,NA,"1001","2"
10019,11.14775,1.5888,3.38625,1.324375,0.8064,12.352725,270,266,210,225,394,154,234.533227665889,206.600402415814,261.354328735266,0,NA,NA,"1001","9"
10020,11.16225,1.27669375,3.2846875,0.8547,1.122975,16.4038375,387,193,209,105,422,164,197.677304563876,157.411448927181,205.829994779376,0,NA,NA,"1002","0"
10021,10.0377,1.25125,2.6167,1.5886,1.17375,19.5585,216,179.5,249,42,423,240,136.636464451572,108.268000187419,125.745780445292,0,NA,NA,"1002","1"
10022,14.863536,3.619728,4.48364,2.315052,2.042748,16.856268,120,85,85,94,286,87,105.458256642689,88.6018855135868,109.8155002488,0,NA,NA,"1002","2"
10029,13.1222222222222,2.63933333333333,3.51125555555556,1.49048888888889,1.2175,15.6906222222222,244.5,162,129,128,340,135,166.954072288043,138.254472820192,174.916387744833,0,NA,NA,"1002","9"
10030,18.9135,17.5365,27.048,7.205,4.76,20.9216,12.5,32,37,25,30,1,8.55416752214983,6.72178125966395,24.8246761185753,1,"Digital",1,"1003","0"
11100,12.0992,0.4879,1.674,1.645,1.63,19.4465,209.5,107,174,46,472,361,130.783547112409,102.531051660008,115.969190792377,0,NA,NA,"1110","0"
11102,8.639,0.8775,2.1216,1.3125,1.75,15.0537,281.5,99,297,146,449,307,205.710353019597,170.902345772715,192.897729235919,0,NA,NA,"1110","2"
11103,12.22,3.0652,3.1808,0.9027,2.0996,18.0429,380,83,168,66,316,173,135.520736536513,103.911160922409,129.780662617738,0,NA,NA,"1110","3"
11109,13.29244,2.387968,1.62096,1.246356,2.265648,16.684704,306,73,121,99,358,365,148.201868314866,116.135671712191,132.439528496409,0,NA,NA,"1110","9"
11200,9.5363,1.05681111111111,1.73101666666667,1.54973888888889,1.59413333333333,14.3877333333333,221,109,268,169,436,357,212.187601280704,186.184805887702,196.204862900837,0,NA,NA,"1120","0"
11201,13.106144,5.0784,3.89088,1.5318,2.548352,15.714284,238,66,130,125,231,108,124.573786284876,100.832420068311,128.23829226142,0,NA,NA,"1120","1"
