noc_2016,noc_title,harm.rank06,harm.rank16,harm.rank21,Diff 21 - 06,Diff 21 - 16,Skill Type,,,,,
1224,Property administrators,323.8124937,159.6928703,113.6935718,-210.1189219,-45.99929855,2,Positive,279,NOC Title,Rank in 06 - /448,Rank in 21 - /448
1252,Health information management occupations,247.6290453,183.8979233,51.65062757,-195.9784177,-132.2472957,2,Negative,168,Property administrators,393,107
714,Facility operation and maintenance managers,323.8124937,159.6928703,137.2411972,-186.5712964,-22.45167309,1,,,Health information management occupations,313,47
4165,"Health policy researchers, consultants and program officers",261.0755261,61.45420904,79.24124058,-181.8342856,17.78703153,1,,,Facility operation and maintenance managers,394,136
6623,Other sales related occupations,350.1066881,251.2701316,168.8757641,-181.230924,-82.39436756,6,,,"Health policy researchers, consultants and program officers",335,74
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",269.345091,91.98536432,96.61347533,-172.7316157,4.628111013,2,,,Other sales related occupations,414,192
632,Accommodation service managers,228.4179083,81.92581409,65.44981339,-162.9680949,-16.4760007,3,,,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",344,84
5136,"Painters, sculptors and other visual artists",240.3136434,127.984421,82.14003333,-158.1736101,-45.84438764,1,,,Accommodation service managers,293,61
2275,Railway traffic controllers and marine traffic regulators,325.4730009,166.701452,168.1170401,-157.3559608,1.415588114,2,,,"Painters, sculptors and other visual artists",304,77
7362,Railway conductors and brakemen/women,325.4730009,166.701452,168.1170401,-157.3559608,1.415588114,3,,,Railway traffic controllers and marine traffic regulators,397,189
9474,Photographic and film processors,251.3506994,255.8147758,97.0467344,-154.303965,-158.7680414,4,,,Railway conductors and brakemen/women,398,190
1243,Medical administrative assistants,265.7699187,149.4301516,119.793603,-145.9763157,-29.63654855,2,,,,,
4112,Lawyers and Quebec notaries,330.1807877,174.8160542,187.7257068,-142.4550809,12.90965261,1,,,,,
3213,Animal health technologists and veterinary technicians,297.8655221,239.4436897,160.0658347,-137.7996874,-79.37785498,2,,,,,
2222,Agricultural and fish products inspectors,375.7191426,212.7397857,238.3211971,-137.3979454,25.58141144,2,,,,,
3124,Allied primary health practitioners,361.067431,227.4841916,230.1968089,-130.8706222,2.712617278,1,,,,,
8232,"Oil and gas well drillers, servicers, testers and related workers",258.2498962,128.1776245,128.8520899,-129.3978063,0.674465402,2,,,Top 10 NOC Titles - 2006,Top 10 NOC Titles - 2016,Top 10 NOC Titles - 2021
3233,Licensed practical nurses,324.6172832,260.2748692,201.1261873,-123.4910959,-59.14868194,2,,,Computer programmers and interactive media developers,Computer programmers and interactive media developers,Computer engineers (except software engineers and designers)
6521,Travel counsellors,176.5168037,60.55192443,55.78720309,-120.7296006,-4.764721336,5,,,Computer engineers (except software engineers and designers),Computer engineers (except software engineers and designers),Mechanical engineers
6235,Financial sales representatives,294.2063912,180.611047,175.5248959,-118.6814953,-5.086151108,2,,,Aerospace engineers,Aerospace engineers,Chemical engineers
6232,Real estate agents and salespersons,244.2575507,190.6398879,130.3813282,-113.8762224,-60.25855963,2,,,Information systems analysts and consultants,Information systems analysts and consultants,Computer network technicians
7251,Plumbers,280.1244165,159.0960133,166.2997487,-113.8246678,7.203735396,2,,,Electrical and electronics engineers,Electrical and electronics engineers,Computer programmers and interactive media developers
5221,Photographers,165.5355884,80.22044586,55.89711748,-109.638471,-24.32332838,2,,,Chemical engineers,Chemical engineers,Aerospace engineers
1226,Conference and event planners,223.4335877,119.9099317,122.3850504,-101.0485373,2.475118771,2,,,Broadcast technicians,Broadcast technicians,Electrical and electronics engineers
124,"Advertising, marketing and public relations managers",203.1337474,122.0021854,105.4582566,-97.67549077,-16.54392879,2,,,Computer and information systems managers,Computer and information systems managers,Industrial designers
423,"Managers in social, community and correctional services",260.5698061,173.8753498,166.5868019,-93.98300416,-7.288547937,2,,,Telecommunications installation and repair workers,Telecommunications installation and repair workers,Information systems testing technicians
3212,Medical laboratory technicians and pathologists' assistants,232.3342993,126.8642829,139.2511178,-93.08318151,12.38683495,2,,,User support technicians,User support technicians,Computer and information systems managers
6345,Upholsterers,347.8912224,257.668144,255.235929,-92.65529345,-2.432215059,3,,,,,
912,Utilities managers,169.7380732,64.43527598,77.08630217,-92.65177101,12.6510262,1,,,,,
5251,Athletes,294.0840276,188.7389048,204.2219362,-89.86209132,15.4830314,2,,,,,
311,Managers in health care,147.0452723,51.19137695,63.00931705,-84.03595524,11.8179401,1,,,,,
6222,Retail and wholesale buyers,243.5321468,150.8330998,161.3536674,-82.17847937,10.52056762,2,,,,,
3143,Occupational therapists,270.5405985,163.6384114,192.6211385,-77.91945999,28.98272716,1,,,,,
3219,Other medical technologists and technicians (except dental health),180.9160515,61.80801198,103.2243595,-77.69169203,41.41634749,2,,,,,
3142,Physiotherapists,281.1355173,202.2355249,204.3710668,-76.76445043,2.135541929,1,,,,,
4152,Social workers,330.4812508,254.5724521,253.9630821,-76.51816874,-0.609370089,1,,,,,
6511,Maîtres d'hôtel and hosts/hostesses,426.0231058,405.4914845,350.382246,-75.64085975,-55.10923848,5,,,,,
5111,Librarians,121.0350906,106.6619602,47.32756439,-73.70752624,-59.33439583,1,,,,,
2261,Non-destructive testers and inspection technicians,259.4252146,208.9603199,190.3336327,-69.09158184,-18.62668717,2,,,,,
4161,"Natural and applied science policy researchers, consultants and program officers",132.5187671,54.55717566,67.96583861,-64.5529285,13.40866295,1,,,,,
1253,Records management technicians,202.4709838,86.36970521,137.944902,-64.52608182,51.57519675,2,,,,,
3237,Other technical occupations in therapy and assessment,305.8972101,182.4055786,241.5153813,-64.38182881,59.10980268,2,,,,,
2132,Mechanical engineers,69.99137739,7.86379698,6.019507664,-63.97186972,-1.844289317,1,,,,,
9437,Woodworking machine operators,290.6616279,290.5854456,227.7321628,-62.92946503,-62.85328277,4,,,,,
3012,Registered nurses and registered psychiatric nurses,276.4122946,248.1029682,213.9003128,-62.51198185,-34.20265542,0,,,,,
4032,Elementary school and kindergarten teachers,240.2753997,193.8896245,178.0466734,-62.22872627,-15.84295112,0,,,,,
5223,Graphic arts technicians,114.5635053,38.88540706,52.38462623,-62.17887905,13.49921917,2,,,,,
3121,Optometrists,197.3146897,234.8174414,135.5960615,-61.71862827,-99.22137996,1,,,,,
2211,Chemical technologists and technicians,129.4878218,159.2003809,68.7966684,-60.69115338,-90.40371254,2,,,,,
7305,"Supervisors, motor transport and other ground transit operators",299.5414602,302.8610214,240.7274175,-58.81404274,-62.13360392,3,,,,,
5252,Coaches,246.3686363,204.2198709,187.6538007,-58.71483563,-16.56607022,2,,,,,
7612,Other trades helpers and labourers,208.776617,266.1048839,151.2057621,-57.57085484,-114.8991218,6,,,,,
2152,Landscape architects,113.9924201,81.57840089,57.30078624,-56.69163389,-24.27761465,1,,,,,
