"noc_2016","noc_title","harm.rank16","harm.rank06","harm.rank21","diff_21_06","diff_21_16","skill_groups","rank06","rank16","rank21","skill_groups_2","standardized06","standardized16","standardized21","std_diff_21_06","normalized06","normalized16","normalized21","norm_diff_21_06","Rank21_Tech_Design","Rank21_Programming","Rank21_Comp_and_Elec","Rank21_Inter_w_Comp","Rank21_Eng_and_Tech","Rank21_Telco","Rank16_Tech_Design","Rank16_Programming","Rank16_Comp_and_Elec","Rank16_Inter_w_Comp","Rank16_Eng_and_Tech","Rank16_Telco","Rank06_Tech_Design","Rank06_Programming","Rank06_Comp_and_Elec","Rank06_Inter_w_Comp","Rank06_Eng_and_Tech","Rank06_Telco","Score21_comp_elec","Score21_eng_tech","Score21_telco","Score21_tech_design","Score21_programming","Score21_inter_comp","Score16_comp_elec","Score16_eng_tech","Score16_telco","Score16_tech_design","Score16_programming","Score16_inter_comp","Score06_comp_elec","Score06_eng_tech","Score06_telco","Score06_tech_design","Score06_programming","Score06_inter_comp","normalized_tech_design06","normalized_tech_design16","normalized_tech_design21","normalized_programming06","normalized_programming16","normalized_programming21","normalized_comp_elec06","normalized_comp_elec16","normalized_comp_elec21","normalized_inter_comp06","normalized_inter_comp16","normalized_inter_comp21","normalized_eng_tech06","normalized_eng_tech16","normalized_eng_tech21","normalized_telco06","normalized_telco16","normalized_telco21","normalized_tech_design_diff","normalized_programming_diff","normalized_comp_elec_diff","normalized_inter_comp_diff","normalized_eng_tech_diff","normalized_telco_diff","diff_16_06"
4168,"Program officers unique to government",269.228948463185,124.606002204155,296.303152759112,171.697150554957,27.074204295927,1,144,330,342,"0-1",-0.572899206521566,-0.609930404092558,-0.694379260755801,-0.121480054234236,0.253531762849308,0.269558500878017,0.251472195170366,-0.00205956767894144,487,304,240.5,221,473,239,462,272,215,198,458,215,196,186,174,37,475,277,10.23,0.4847,2.6596,0.1344,0.69,12.5712,10.23,0.4847,2.6596,0.1344,0.69,12.5712,10.268,0.1744,1.8824,5.6643,1.7549,18.0576,0.260607315389924,0.464763076923077,0.0108624932816611,0.0703206081175844,0.032280701754386,0.0354827692158693,0.333824344230171,0.305531843565014,0.322659743256887,0.627545582047686,0.425927270589781,0.414066820760664,0.00134138162307176,0.0157688781408204,0.0147361141073309,0.0755649593510211,0.106920312286429,0.130177132560432,-0.249744822108263,-0.034837838901715,-0.0111646009732841,-0.213478761287022,0.0133947324842592,0.0546121732094112,144.62294625903
414,"Other managers in public administration",214.086198377045,43.1413516481405,190.003357196897,146.862005548757,-24.082841180148,1,37,283,224,"0-1",-1.33877390948241,-1.32738048444967,-1.38671999271539,-0.0479460832329814,0.0799538126888462,0.0870193099474435,0.0808469763401678,0.000893163651321513,281.5,147,190,188,140,272,384,272,164,177,175,226,122,66,25,136,67,17,11.67,8.2415,2.363,1.3125,1.3125,13.6535,11.82,6.3096,2.5807,0.69,0.69,13.1544,18.4599,12.376,11.352,7.1514,3.2398,13.3104,0.329026915113872,0.586781538461538,0.106079035953721,0.129822044663143,0.032280701754386,0.0674943979649689,0.610588942794978,0.35488727405922,0.369864809934044,0.46109396914446,0.446092618141206,0.450454297121244,0.376731336028403,0.209264008291367,0.260818116061571,0.491255640814033,0.103748401984354,0.11505116785095,-0.22294787916015,-0.0623276466981742,-0.240724132860934,-0.0106396720232161,-0.115913219966832,-0.376204472963083,170.944846728905
3114,"Veterinarians",212.524334525041,151.854815310486,273.352627222153,121.497811911667,60.828292697112,1,198,278,322,"0-1",-0.316724577385985,-0.369953149917375,-0.462800740719121,-0.146076163333136,0.311591216747662,0.330615367436697,0.308544000762094,-0.00304721598556768,166.5,382.5,237,316,328,335,118.5,348,232,238,326,182,49,225,200,311,239,364,10.332,2.8688,1.9392,1.88,0.3125,9.4608,9.758,2.3572,3.0552,2.24,0.3125,10.3155,9.4112,3.591,1.2782,9.94,1.5347,5.98,0.457326892109501,0.815589743589744,0.151945590547045,0.0614969726355101,0.0146198830409357,0.016070094753564,0.304877224752355,0.290880420173023,0.326003435479853,0.204067321178121,0.347931772524368,0.309493591090565,0.106455245232865,0.0779707410409386,0.0903709249647856,0.049042159049007,0.122824085613437,0.093438275592425,-0.305381301562456,-0.0454268778819461,0.0211262107274979,0.105426269912445,-0.0160843202680795,0.0443961165434179,60.669519214555
4154,"Professional occupations in religion",255.515318622493,173.669579496377,286.647432730971,112.977853234594,31.132114108478,1,225,314,331,"0-1",-0.111637144652911,-0.177832957768789,-0.277404379218735,-0.165767234565824,0.358072261283871,0.37949607063318,0.354234357101222,-0.00383790418264879,403,285.5,275,319,415,171,365.5,245.5,238,256,384,165,403,178,219,194,341,71,9.4276,1.3205,3.1899,0.75,0.75,9.4107,9.4276,1.3205,3.1899,0.75,0.75,9.4107,8.7963,1.827,4.525,2.1411,1.8513,11.27,0.0985093167701863,0.17568,0.060616591973555,0.0741834530788557,0.0350877192982456,0.0385682274085536,0.284102733894617,0.28062442379863,0.296356031102894,0.389551192145863,0.316646439080388,0.307809203614205,0.0521846676388607,0.04353299937549,0.0412516020963669,0.191568190198592,0.128239248068311,0.157221296705538,-0.0378927247966313,-0.0356152256703021,0.0122532972082766,-0.0817419885316579,-0.0109330655424938,-0.0343468934930537,81.845739126116
5135,"Actors and comedians",370.022838001784,348.031613344788,458.323237700355,110.291624355567,88.300399698571,1,410,413,439,"0-1",1.52759496362796,1.35775400347101,1.20444004430293,-0.323154919325029,0.729588056351401,0.770191965975094,0.71943030378496,-0.0101577525664402,431,467,445,482,487,438,452.5,443.5,465,453,383,207,464,469.5,446,431,379,172,3.376575,0.3255,1.188525,0.605,0,1.6415,1.515,1.3632,2.756,0.28,0,2.016,1.515,1.3632,2.756,0.938,0.0612,2.016,0.0431561996779388,0.0769641025641026,0.048897384192001,0.00245234555632581,0,0,0.0381028960633539,0.0350082103845067,0.0979955876375175,0.0650771388499299,0.0609593753997974,0.0466047488968271,0.037915566795267,0.0449514343799413,0.00968554496656219,0.113913715299117,0.110795751489471,0.0551554584707441,0.00574118451406223,-0.00245234555632581,0.0598926915741636,-0.0184723899531028,-0.0282300218287048,-0.0587582568283726,21.991224656996
114,"Other administrative services managers",132.648431583057,129.313373336406,234.533227665889,105.219854329483,101.884796082832,1,165,151,276,"0-1",-0.528643735675837,-0.568473112199039,-0.654372892925535,-0.125729157249697,0.263561828972513,0.280106385292008,0.261331640022499,-0.00223018895001431,270,266,210,225,394,154,384,272,79,92,365,76,284,52,164,100,337,195,11.14775,1.5888,3.38625,1.324375,0.8064,12.352725,14.7972,1.6642,4.6129,0.69,0.69,16.021,10.856875,1.8975,2.550625,4.018425,3.8634,14.7498,0.184882677708765,0.329716923076923,0.107038798659969,0.15481032389394,0.032280701754386,0.0414685581096769,0.353719576469316,0.447302989573277,0.352744777939499,0.51156381486676,0.545211248612595,0.4067215801639,0.0543536448046075,0.0549502385096799,0.0497633338832278,0.104898289757862,0.185446198129819,0.167234726141502,-0.0778438790487954,-0.113341765784263,-0.000974798529817467,-0.10484223470286,-0.00459031092137967,0.0623364363836397,3.33505824665102
3125,"Other professional occupations in health diagnosing and treating",147.280477472822,172.231972874011,261.055260770491,88.82328789648,113.774783297669,1,223,163,306,"0-1",-0.125152534915611,-0.190493798755631,-0.289622115554748,-0.164469580639136,0.355009131338008,0.376274801678707,0.351223334002752,-0.00378579733525569,237,255,236,250,371,250,64,104,201,207,357,304,107,349,175,251,181,131,10.3422100591716,2.08198224852071,2.52574437869823,1.53288579881657,0.866094082840237,12.0021538461538,10.8481111111111,1.75466666666667,1.8624,3.09805555555556,1.60111111111111,12.0035222222222,10.2524,5.6394,3.3123,8.2302,0.8064,8.9748,0.378661145617667,0.675298461538462,0.123891084011895,0.0323132590951165,0.0749057829759584,0.0445382847255799,0.333297295836318,0.324718724056926,0.326338134454834,0.309074333800842,0.406298636011404,0.394935199702586,0.169475569010393,0.0579554161849968,0.0654093831618311,0.138333830837035,0.0748715557235091,0.123350782580741,-0.254770061605773,0.0122250256304634,-0.00695916138148372,0.0858608659017447,-0.104066185848562,-0.0149830482562942,-24.951495401189
1122,"Professional occupations in business management consulting",103.676688518398,46.8456827380015,124.573786284876,77.7281035468745,20.897097766478,1,45,107,120,"0-1",-1.3039483323302,-1.29475685420084,-1.35523812566421,-0.0512897933340097,0.087846686381978,0.0953196659358026,0.0886055845035017,0.00075889812152366,238,66,130,125,231,108,152,52,154,93,156,110,41,46,27,85,126,35,13.106144,5.0784,3.89088,1.5318,2.548352,15.714284,12.30238125,7.07135,3.886975,1.977425,2.92324375,15.9954,18.414025,7.789525,7.1743,10.5924,4.441075,15.555575,0.487342995169082,0.86912,0.123803327446789,0.177958342182347,0.136759941520468,0.13104722593739,0.60903904888036,0.369860943402669,0.416943471932654,0.539816795231417,0.544326075606222,0.51973890313091,0.235625526861475,0.234568290835648,0.160469779069325,0.307865533528823,0.15626281427641,0.192969775269438,-0.363539667722293,-0.0469111162449571,-0.192095576947706,-0.0200778921005068,-0.0751557477921499,-0.114895758259385,56.8310057803965
2123,"Agricultural representatives, consultants and specialists",132.092774871501,176.688958241476,252.416768811286,75.72781056981,120.323993939785,1,241,150,299,"0-1",-0.0832510190911377,-0.151241626332213,-0.251743692329669,-0.168492673238531,0.364505696764847,0.386261642565074,0.36055835352909,-0.0039473432357563,384,188,233,305,201,294,234,144.5,52,208,123,387,118,240,211,210,162,171,10.4504375,5.97526875,2.21119375,0.8731625,1.14261875,9.818375,16.121,8.5749,1.2616,1.4256,1.215,11.9952,8.9394,6.33255,2.7761,7.3931,1.418175,10.6575,0.340147227973315,0.606613333333333,0.0705708466521456,0.0568276986820646,0.0568421052631579,0.0587583730550364,0.288937389353622,0.488395265603611,0.329885970260808,0.368075035063114,0.406010877946399,0.321515444421097,0.190800767910214,0.284514144487702,0.188922653642628,0.114796052747098,0.0507184035120163,0.107309374256281,-0.269576381321169,0.00193067437297177,0.0409485809071856,-0.0465595906420168,-0.0018781142675858,-0.00748667849081733,-44.596183369975
4031,"Secondary school teachers",130.804827715302,116.990025600648,177.486839989092,60.496814388444,46.68201227379,0,131,148,205,"0-1",-0.644499388676119,-0.677003459569878,-0.759104890587523,-0.114605501911404,0.237304287517565,0.252493256040387,0.235520765124207,-0.00178352239335758,229,147,89,216,288,283,199.5,158.5,73,189,263,82,90,217,69,123,210,115,14.574,3.6158,2.31,1.54,1.3125,12.818,14.9904,3.6285,4.512,1.62,1.125,12.825,14.41785,4.6461,3.5392,8.80445625,1.586475,13.74245,0.405081953071083,0.722416923076923,0.124466068852366,0.0635716489619606,0.0526315789473684,0.0674943979649689,0.474027663283647,0.453300139995592,0.465061694399643,0.476242987377279,0.434702931098271,0.422364362260979,0.138916065198531,0.120201570576277,0.114069261322538,0.148294147600569,0.181389851495099,0.112348281372182,-0.280615884218717,0.00392274900300825,-0.00896596888400325,-0.0538786251162999,-0.0248468038759922,-0.0359458662283867,13.814802114654
