"noc_2016","noc_title","harm.rank16","harm.rank06","harm.rank21","diff_21_06","diff_21_16","skill_groups","rank06","rank16","rank21","skill_groups_2","Score21_comp_elec","Score21_eng_tech","Score21_telco","Score21_tech_design","Score21_programming","Score21_inter_comp","Score16_comp_elec","Score16_eng_tech","Score16_telco","Score16_tech_design","Score16_programming","Score16_inter_comp","Score06_comp_elec","Score06_eng_tech","Score06_telco","Score06_tech_design","Score06_programming","Score06_inter_comp","normalized_tech_design06","normalized_tech_design16","normalized_tech_design21","normalized_programming06","normalized_programming16","normalized_programming21","normalized_comp_elec06","normalized_comp_elec16","normalized_comp_elec21","normalized_inter_comp06","normalized_inter_comp16","normalized_inter_comp21","normalized_eng_tech06","normalized_eng_tech16","normalized_eng_tech21","normalized_telco06","normalized_telco16","normalized_telco21","normalized_tech_design_diff","normalized_programming_diff","normalized_comp_elec_diff","normalized_inter_comp_diff","normalized_eng_tech_diff","normalized_telco_diff"
9474,"Photographic and film processors",255.814775830712,251.350699357771,97.0467343972005,-154.303964960571,-158.768041433511,4,315,316,85,"4-5",15.133,2.538,0.8967,3,3.8556,14.9699,10.3025,2.522,1.3114,1.4256,0.93,9.8404,10.334625,2.5317,1.307625,5.312925,0.8967,9.82355,0.24444099378882,0.435932307692308,0.24246636789422,0.0359316709208718,0.0435087719298246,0.198271543461893,0.336075280078922,0.307782327030945,0.483386439033345,0.338834151472651,0.331504206300634,0.49471233452406,0.0738652096062614,0.0834451693485165,0.0798764006446455,0.0503338396165124,0.0527204457559116,0.0402730085336415,-0.193465939798088,0.154762771532068,0.1756041120024,0.163208128223426,-0.00356876870387095,-0.0124474372222701
3112,"General practitioners and family physicians",337.111355198588,210.765244975374,181.187951068172,-29.577293907202,-155.923404130416,1,275,379,208,"0-1",12.087075,4.1258,3.8863125,1.4412125,1.181575,13.2904375,7.812,1.207,1.8887,0.475,0,10.052,9.2485,2.174775,2.619,7.074,1.44,5.351125,0.325465838509317,0.580430769230769,0.116481853412916,0.0577022483841367,0,0.0607616710670157,0.299380380285687,0.230474339832316,0.38353706908986,0.182017005610098,0.338820714431432,0.438247951250263,0.0628841858490392,0.039762686190356,0.130248848394097,0.107899773489491,0.0759288591575342,0.192736842552612,-0.463948915817853,0.0607616710670157,0.153062729257544,0.0994272368188307,0.0904861622037407,0.116807983395078
2262,"Engineering inspectors and regulatory officers",309.680259107132,113.659458636166,166.429621576336,52.77016294017,-143.250637530796,2,119,355,184,"2-3",10.3269,10.369375,4.94203125,1.1925,0.493125,9.27045,6.9133,3.6337,0.5628,0.5244,0.75,9.2018,11.3582,9.92455555555556,4.88366666666667,5.61813333333333,2.51613333333333,10.6274444444444,0.258483245149912,0.460975042735042,0.0963803812379525,0.100823993449726,0.0350877192982456,0.025358609521124,0.370656918523724,0.20257765720015,0.325836250868704,0.367021193704222,0.309423289040106,0.30309392729565,0.301311094566037,0.120374307391807,0.328324270649595,0.207312719121116,0.0226254894551068,0.246576237548023,-0.36459466149709,-0.0097291097771216,0.123258593668554,-0.00632936174445564,0.207949963257788,0.223950748092916
1252,"Health information management occupations",183.897923290889,247.629045269766,51.650627571879,-195.978417697887,-132.24729571901,2,312,246,46,"2-3",16.4391111111111,4.31183333333333,3.77154444444444,3.42,6.24166666666667,19.5734,9.8595,0.7072,2.5986,1.3125,0.5244,17.4,9.238,0.3375,3.1682,0.75,0.69,11.4774,0.0345065562456867,0.0615384615384615,0.276411659399411,0.0276489940173988,0.0245333333333333,0.320973359211185,0.29902563617444,0.294031097025326,0.526202454372078,0.396823281907433,0.592893028916804,0.649484345450725,0.0063592564561682,0.0231600207284179,0.136150696462487,0.13200821759056,0.104468011545914,0.186883917542129,0.214873197860949,0.296440025877852,0.232171357346751,0.0565913165339209,0.112990675734069,0.0824159059962151
7314,"Railway carmen/women",304.959242770609,119.446595599815,186.935501434194,67.488905834379,-118.023741336415,3,136,351,214,"2-3",3.8964,13.376,1.4872,1.88,0,3.268,0.735,4.12,1.991,1.8144,0,0.3094,0.735,4.12,1.991,10.78,2.8012,0.3094,0.49597423510467,0.88451282051282,0.151945590547045,0.112246901509475,0,0,0.0117504763706637,0.0107961124062169,0.115036124988527,0.00523842917251052,0.00195014677966453,0.101288505988653,0.122730265384355,0.136528521505734,0.423708488255523,0.08033221541325,0.0800414881043313,0.070387243735763,-0.732567229965776,0,0.10424001258231,0.0993383592089885,0.28717996674979,-0.00965424436856835
6733,"Janitors, caretakers and building superintendents",410.359842382708,349.236913122701,294.306676082592,-54.930237040109,-116.053166300116,7,411,435,341,"6-7",3.29325,3.8941,2.1416,1.9928,0.345,6.28395,1.8857,1.463,1.764,0,0,2.175,1.0508,0.8509,1.8212,4.3485,1.027,0.8645,0.200069013112491,0.3568,0.161062325979867,0.0411529229795197,0,0.0177413846079347,0.022419827830858,0.0465151651544452,0.0952640861230217,0.0247019635343619,0.0664571296190644,0.202686278629964,0.0221543327241738,0.0482666524933895,0.122898239914724,0.0728784393601517,0.070915713217499,0.103760242069833,-0.195737674020133,0.0177413846079347,0.0487489209685764,0.1362291490109,0.0746315874213345,0.0328445288523339
7612,"Other trades helpers and labourers",266.104883890282,208.776616975465,151.205762137467,-57.570854837998,-114.899121752815,6,271,328,153,"6-7",10.3603,14.3808,3.663,1.0044,0.5244,3.57,4.62,5.4033,1.81,1.4256,0.8556,7.2624,3.70815,7.9032,2.8025,6.56565,0.92115,2.79825,0.30207729468599,0.53872,0.0811777399709849,0.0369114070132274,0.0400280701754386,0.0269669046040607,0.112198805356974,0.131390985028853,0.326931146165244,0.0925052594670407,0.242364518393273,0.111441899558731,0.239122810256032,0.179157974461526,0.455585447254546,0.115954943723552,0.0727649891857557,0.181348383367898,-0.457542260029015,-0.0130611655713779,0.195540161136391,-0.130922618834542,0.27642747279302,0.108583394182142
3211,"Medical laboratory technologists",270.285410258973,103.204651161477,170.953677331215,67.749026169738,-99.331732927758,2,107,331,194,"2-3",11.2732857142857,4.28582448979592,2.39782040816327,1.23214285714286,1.69,16.5393469387755,8.61666666666667,2.01173333333333,1.03111111111111,0.900277777777778,1.01937777777778,11.571,12.935,5.4264,3.441,0,4.4944,14.9984,0,0,0.099584401099412,0.180095128567822,0.0476901884340482,0.0869070724272742,0.423929348487101,0.255452119541543,0.35686000138618,0.520280504908836,0.391343284614241,0.547477938685455,0.162922489062817,0.0664948156809594,0.135325574210243,0.143983424347246,0.0414523695300069,0.116826934085095,0.099584401099412,0.039216883993226,0.101407881844637,0.156134654071214,0.0688307585292838,0.0753745645550881
3121,"Optometrists",234.817441429771,197.314689738611,135.596061471204,-61.718628267407,-99.221379958567,1,255,296,133,"0-1",13.3661,5.06,3.6581,1.6544,2.1056,14.9248,8.9835,2.7676,1.8165,1.88,1.0044,9.153,10.7257,4.9396,2.6884,1.96,2.1875,9.5904,0.0901771336553945,0.160820512820513,0.133712119681399,0.0876553252363188,0.0469894736842105,0.108279012841934,0.349287808965228,0.266839048526632,0.425465166594548,0.330659186535764,0.307735927996708,0.49319604959025,0.14794577864742,0.0916036620204893,0.159886044947527,0.110946252041228,0.0730262999204007,0.181098493863257,-0.0271083931391136,0.0612895391577235,0.158626118067916,0.185460121593542,0.0682823829270381,0.108072193942857
6411,"Sales and account representatives - wholesale trade (non-technical)",261.289635905587,183.809083500885,170.648898829928,-13.160184670957,-90.640737075659,4,246,323,193,"4-5",11.0633,0.7524,5.6975,1.215,0.75,12.9426,7.4347,3.0576,2.2066,1.215,0.75,12.5961,7.46521875,2.80395,4.048,3.645,1.71795625,12.0115625,0.167701863354037,0.299076923076923,0.0981988789971591,0.0688402348962361,0.0350877192982456,0.0385682274085536,0.239131949606065,0.218762513464099,0.349976397466661,0.415552682328191,0.426788239646761,0.426553477621349,0.0822411533420708,0.101237061348144,0.0232288110858724,0.170629137328581,0.0887089641642479,0.285103525651922,-0.200878044079764,0.00348050811030802,0.131213884002562,-0.000234762025411672,-0.078008250262272,0.196394561487674
