"noc_2016","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
12,9.32291111111111,6.768,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,189.5,164.5,241.5,108.5,164.5,176.5,165.636635805458,160.434904880555,163.451748347563,0,NA,NA,"12",""
13,9.32291111111111,6.768,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,189.5,164.5,241.5,108.5,164.5,176.5,165.636635805458,160.434904880555,163.451748347563,0,NA,NA,"13",""
14,9.32291111111111,6.768,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,189.5,164.5,241.5,108.5,164.5,176.5,165.636635805458,160.434904880555,163.451748347563,0,NA,NA,"14",""
15,11.26926,4.848804,3.185608,1.32,1.097256,15.341132,251,167,178,117,221,166,174.042531993828,153.836844619938,175.522922167498,0,NA,NA,"15",""
16,9.32291111111111,6.768,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,189.5,164.5,241.5,108.5,164.5,176.5,165.636635805458,160.434904880555,163.451748347563,0,NA,NA,"16",""
111,11.1818,1.42266666666667,1.9906,1.02666666666667,1.49653333333333,16.2096888888889,311,112,180,88,382,293,172.276025433504,137.875242548081,159.101553682523,0,NA,NA,"111",""
112,8.5988,1.0295,1.3448,1.96,3.24,13.32,154.5,46.5,270,172,410,377,142.746765154178,120.596283697602,126.945524287588,0,NA,NA,"112",""
113,12.752975,9.1998,3.597475,1.575475,1.4586,16.8345,206,114,142,80,107,140,121.909805129691,113.874021433872,118.695727721912,0,NA,NA,"113",""
114,14.7972,1.6642,4.6129,0.69,0.69,16.021,384,272,79,92,365,76,132.648431583057,100.243831034448,155.061190098313,0,NA,NA,"114",""
121,9.2518,0.7872,2.0651,0.75,0.5244,20.9034,365.5,304,245,21,431,286,97.837907856519,71.0699282203948,86.4429717041455,0,NA,NA,"121",""
122,10.0377,1.25125,2.6167,1.5886,1.17375,19.5585,205,152.5,222,34,393,221,116.578794781561,90.754610084321,106.467175043467,0,NA,NA,"122",""
124,13.1058,1.68725,6.0341125,1.2978875,1.5721875,14.7559125,275,106,121,140,364,54,122.002185427796,93.4218576211812,161.302661095977,0,NA,NA,"124",""
125,12.9683555555556,5.04733333333333,4.28566666666667,2.1175,1.92284444444444,12.6807333333333,128,84,125,193,210,88,123.49977991991,110.828473719729,133.879104994482,0,NA,NA,"125",""
131,19.64,15.91,29.1732,7.205,5.5544,18.8307,11.5,20,25,45,36,1,8.39340747398139,6.58089872920215,23.272403004858,1,"Digital",1,"131",""
132,15.8865,5.0167,4.2588,2.1056,1.54,15.7014,137,109,55.5,102.5,212.5,89.5,100.956051788177,84.2077188466549,103.344053501801,0,NA,NA,"132",""
211,19.866,29.707,8.1842,3.0456,2.76,17.9112,66,60,24,55,2,30,13.1935591126284,37.5556351539697,11.8340592628156,1,"High-Tech",1,"211",""
212,15.5262,17.629325,4.9203,5.47875,2.91,15.7516,23,53,62,99,29,70,44.9518875114105,68.404083141113,41.879016175493,0,NA,NA,"212",""
213,23.5956,12.0267,7.884,3.8325,4.2075,25.4198,44,36,10,9,59,33,20.9616673913348,16.171555451677,19.4685091682168,1,"Digital",1,"213",""
311,17.5529,3.31695,2.0882,2.34375,5.775,19.504,114.5,19,40,36,275,284,51.1913769485298,38.122089530853,43.9759663278478,0,NA,NA,"311",""
414,11.82,6.3096,2.5807,0.69,0.69,13.1544,384,272,164,177,175,226,214.086198377045,202.563711196775,211.677771287707,0,NA,NA,"414",""
421,10.6353,1.7442,1.9712,1.32,0.69,16.168,251,272,209,89,358,294,202.158927062522,174.47553710056,190.187910346389,0,NA,NA,"421",""
422,11.907525,1.24085,2.825625,1.0275,1.26765,12.7078,309.5,136,161,191,394,203,204.536195684411,169.617993628895,204.643773241326,0,NA,NA,"422",""
423,11.43255,1.1275,2.88,1.215,1.685,14.758425,284,94,173,139,398,196,173.875349847157,140.388109592036,169.886947584789,0,NA,NA,"423",""
431,11.742,2.5258,9.7933,1.54,1.75,17.5924,212.5,93,167,64,320,20,68.6550328451206,50.2548285231696,125.708999523322,0,NA,NA,"431",""
432,12.136,9.9968,9.6099,2.35,2.1875,10.5878,110.5,74.5,156,234,94,23,70.5621925863249,61.0347411811844,115.301142675213,0,NA,NA,"432",""
512,17.9267,5.5404,15.1956,0.93,0.5244,19.7316,334,304,37,27,199,5,25.004114738997,17.2432054268028,68.2185585211797,0,NA,NA,"512",""
513,7.332,1.066,2.2729,0,0.1344,7.9376,474.5,393,314,308,408,267,348.26417956015,315.450858467272,370.453862658011,0,NA,NA,"513",""
601,12.5532,4.26,5.3508,1.54,1.4256,15.2439,212.5,118.5,147,122,239,61,124.392089203697,101.563903450107,155.73633140045,0,NA,NA,"601",""
621,13.32,5.5902,5.825,2.1056,0.93,15.1475,137,207,110,123,198,57,116.744920017759,102.242701959157,146.401224170946,0,NA,NA,"621",""
631,4.8832,2.646,4.0898,0.93,0.5244,10.7152,334,304,369,227,312,101,227.693265401177,198.301766395974,302.163753325379,0,NA,NA,"631",""
632,15.3715,4.9601,7.564,1.125,0.93,18.1332,297.5,207,66,53,216,36,81.925814086456,61.2758136162225,108.201775417414,0,NA,NA,"632",""
651,8.1469,1.1097,3.8318,2.5944,1.125,14.9455,93.5,158.5,288,133,400,116,154.578334455686,155.403203071184,165.189526371159,0,NA,NA,"651",""
711,12.8544,19.0688,4.9392,2.35,0.93,14.952,110.5,207,134.5,131.5,23.5,68.5,71.5065804049866,117.221526999433,71.9218812325289,0,NA,NA,"711",""
712,12.8544,19.0688,4.9392,2.35,0.93,14.952,110.5,207,134.5,131.5,23.5,68.5,71.5065804049866,117.221526999433,71.9218812325289,0,NA,NA,"712",""
714,11.072,4.4928,3.8775,0.3125,0.75,16.872,436.5,245.5,181.5,78.5,232.5,111.5,159.692870326462,129.016641108974,174.31786673618,0,NA,NA,"714",""
731,10.9928,4.24329375,3.9622375,1.3125,1.13063125,14.909025,257,154,183,136,240,107,164.517558130929,140.622625017037,183.749136881293,0,NA,NA,"731",""
821,10.108,11.6314,3.1557,1.75,0.93,6.2832,180.5,207,220,355,63,168,153.08711813641,221.49954656813,150.257497071304,0,NA,NA,"821",""
822,4.8412,7.4513,0.621,1.4256,0.75,8.5624,234,245.5,370,291,145,446,255.116780116671,322.216672295978,234.945793390161,0,NA,NA,"822",""
823,11.7425,11.02,3.7125,2.35,1.88,12.2475,110.5,86,166,203,86,132,119.128225976381,133.765688104168,116.694011012951,0,NA,NA,"823",""
911,13.714875,11.752375,3.7714,2.2925,2.1875,14.7662,116,74.5,104,138,62,126,96.374507622324,105.716338832556,91.9403073364446,0,NA,NA,"911",""
912,14.273712,17.02368,5.321088,2.775684,2.801196,13.938012,84,58,91,155,31,62,64.4352759767975,79.8371481165537,64.7302147775695,0,NA,NA,"912",""
1111,14.4144,0.71755,2.226625,1.4703,1.63,17.8177,223,99,86,58,437,269,122.713188959451,94.905678789155,110.64199849602,0,NA,NA,"1111",""
1112,18.7308,3.434,3.248,1.0044,2.1056,19.6425,317,76.5,30,31,272,157,67.0031250944894,48.3439745843743,60.0824705880186,0,NA,NA,"1112",""
1113,14.98485,2.5515,3.363675,1.1097,2.26875,18.965125,304,72,75,41,318.5,153,94.3869138166509,69.9795508838987,87.6046012885084,0,NA,NA,"1113",""
1114,14.0696,2.8236,5.475,0.69,1.125,16.9916,384,158.5,94,73,301,59,113.454258117076,85.1497034408456,138.052586814845,0,NA,NA,"1114",""
1121,9.886688,0.810816,1.608768,1.440352,1.673584,14.681788,226,95,227,141,429,343,190.580679611646,161.604004788334,174.973517868963,0,NA,NA,"1121",""
1122,12.30238125,7.07135,3.886975,1.977425,2.92324375,15.9954,152,52,154,93,156,110,103.676688518398,88.9544298943505,102.326474739424,0,NA,NA,"1122",""
1123,16.4079,1.7617,5.92875,3.4814,2.74,17.402175,53,62,48,67,353,56,66.7599091814893,58.3678131482572,69.1271902292399,0,NA,NA,"1123",""
1213,15.54,1.6218,2.1875,0.75,2.35,16.498,365.5,69.5,60.5,85.5,368.5,272.5,117.425025501145,87.6010358172493,105.396009425552,0,NA,NA,"1213",""
1214,15.8865,5.0167,4.2588,2.1056,1.54,15.7014,137,109,55.5,102.5,212.5,89.5,100.956051788177,84.2077188466549,103.344053501801,0,NA,NA,"1214",""
1215,14.4752,9.3624,4.998,1.8144,2.415,15.3293,172,67.5,83,118,103,66,91.9853643182337,80.269647370782,99.3988460539661,0,NA,NA,"1215",""
1221,14.432,0.852,2.4486,0.5244,0.93,14.4855,408.5,207,84.5,145.5,423.5,244.5,186.332093105042,145.970180804982,177.763541828289,0,NA,NA,"1221",""
1222,9.295,0.368,1.9623,1.54,2.76,17.3502,212.5,60,244,70,471,295,134.106845184229,105.435292950626,120.883706890738,0,NA,NA,"1222",""
1223,12.3424,1.092,2.7606,0.93,1.4256,15.295,334,118.5,152,120,404,206,179.352145992107,142.85954476716,174.685781749532,0,NA,NA,"1223",""
1224,11.072,4.4928,3.8775,0.3125,0.75,16.872,436.5,245.5,181.5,78.5,232.5,111.5,159.692870326462,129.016641108974,174.31786673618,0,NA,NA,"1224",""
1225,14.3175,9.24,4.6,0.1344,0.3125,16.985,462,348,89,74,106,77,116.198207560462,99.6753405262901,128.814866559751,0,NA,NA,"1225",""
1226,13.203,2.7648,6.1258,1.3125,0.5244,16.5239,266,304,115,83,306,51,119.909931675109,92.9477966525767,162.301895706538,0,NA,NA,"1226",""
1227,11.4558,1.0425,2.9253,0.75,1.62,12.9465,365.5,101.5,172,185,409,189,191.427349138878,152.812049069746,191.715396302902,0,NA,NA,"1227",""
1228,13.132,0.7638,2.4805,0.75,1.4256,16.039,365.5,118.5,117.5,90.5,433,239.5,162.484295029169,125.415496409881,152.584903109038,0,NA,NA,"1228",""
1241,14.432,0.852,2.4486,0.5244,0.93,14.4855,408.5,207,84.5,145.5,423.5,244.5,186.332093105042,145.970180804982,177.763541828289,0,NA,NA,"1241",""
1242,12.8734,0.171,2.1037,0.93,0.69,17.7514,334,272,131.5,59.5,478.5,281.5,165.064157501874,127.881644604858,152.39405208698,0,NA,NA,"1242",""
1243,12.8554,1.0725,2.4644,0.5244,0.75,18.357,408.5,245.5,133,50,407,241,149.430151571125,113.444422630691,138.810585566026,0,NA,NA,"1243",""
1251,16.6257,0.5808,1.122,0,0.3875,18.333975,474.5,327.5,46,51,450,401,119.143568585882,86.8827333764722,104.445515897358,0,NA,NA,"1251",""
1252,9.8595,0.7072,2.5986,1.3125,0.5244,17.4,266,304,229,68,438,222,183.897923290889,150.355742622235,177.667286635533,0,NA,NA,"1252",""
1253,16.8173444444444,4.37502222222222,4.56428888888889,1.89222222222222,2.20173333333333,15.9930666666667,157,73,44,94,236,78,86.3697052081053,67.8883406960201,88.0117834327612,0,NA,NA,"1253",""
1254,21.5538666666667,4.6648,2.52994444444445,2.92,10.0117333333333,20.482,73,8,14,23,223,233,24.8245989058392,17.8796561604585,21.0595263639341,1,"High-Tech",1,"1254",""
1311,10.0345,0.3388,1.2312,0.5244,0.69,15.4967,408.5,272,223.5,111.5,472.5,390.5,248.813483010713,204.493604292956,231.909113335173,0,NA,NA,"1311",""
1312,6.86,1.802,2.3986,0.93,1.96,13.6045,334,83,336,164,350,255,195.611428318206,161.037227799418,186.798540018248,0,NA,NA,"1312",""
1313,9.8696,0.4674,1.4245,0.93,0.69,12.32,334,272,228,202,460,361,287.457823809065,254.479552610016,276.087565281262,0,NA,NA,"1313",""
1314,15.045075,1.9845,2.536875,0.3125,0.98595,15.123,436.5,194,71,125,340,232,164.547148321316,128.018649973375,155.415286067433,0,NA,NA,"1314",""
1315,8.397,0.8064,2.8359,1.32,2.82,13.23,251,56,282,174,430,201,157.767489470939,126.015173045748,151.148027379351,0,NA,NA,"1315",""
1411,9.6792,0.4176,0.9955,0.69,0.69,13.6335,384,272,234,162,465,413,282.857740167964,242.884234630533,266.005306804825,0,NA,NA,"1411",""
1414,11.4235,0.4068,3.626,0.69,0.5244,15.3036,384,304,174,119,466,135,203.956906974476,162.07948794284,226.602829642357,0,NA,NA,"1414",""
1415,13.2264,0.6116,3.197,0.75,1.125,15.0864,365.5,158.5,114,126,446,164,177.171374574952,138.408944057554,179.824355900239,0,NA,NA,"1415",""
1416,10.7114,0.298488888888889,2.32904444444444,0.3741,0.379377777777778,14.0266666666667,426,329,206,151,475,261,264.320407455508,219.094500146056,264.789429873232,0,NA,NA,"1416",""
1422,14.0476,0.2432,1.3736,0.69,2.5,16.8734,384,64,97,77,476,372,131.050109477138,97.3468718845172,116.001075903238,0,NA,NA,"1422",""
1423,20.496,4.902,4.3976,3.71,8.58,19.1388,47.5,14,20,37,220,83,33.7743305382627,26.228430566968,30.1668321134149,0,NA,NA,"1423",""
1431,10.0345,0.3388,1.2312,0.5244,0.69,15.4967,408.5,272,223.5,111.5,472.5,390.5,248.813483010713,204.493604292956,231.909113335173,0,NA,NA,"1431",""
1432,10.9472,0.492,1.2654,0.1344,1.0044,13.356,462,187.5,186,170,457,386,256.106002013776,209.593449375172,239.879255363401,0,NA,NA,"1432",""
1434,13.1544,0.373625,4.0913,0,1.3203,14.5008,474.5,126,116,144,470,100,160.236047822466,120.414589412693,181.52926847283,0,NA,NA,"1434",""
1435,13.132,0.7638,2.4805,0.75,1.4256,16.039,365.5,118.5,117.5,90.5,433,239.5,162.484295029169,125.415496409881,152.584903109038,0,NA,NA,"1435",""
1451,14.9272,0.6588,2.4278,1.38,1.035,16.3728,245,174,77,87,442,249,149.176501362467,117.999548120279,138.04218455717,0,NA,NA,"1451",""
1452,8.7278,0.6432,2.3495,0.3125,0.75,16.6495,436.5,245.5,268,82,445,258,212.680503363477,168.894213269591,205.336053450611,0,NA,NA,"1452",""
1454,13.735,4.5584,2.457,1.3689,5.3436,14.8239,247,24,102,137,229,243,86.4135447568291,65.5163359380815,76.5284270922379,0,NA,NA,"1454",""
1511,3.3003,0.3937,1.1055,0,1.0044,5.3938,474.5,187.5,416,375,467,403,351.334443998946,311.576387410838,342.407184228573,0,NA,NA,"1511",""
1512,3.5638,0.448,1.3756,0,0,2.1402,474.5,443.5,405,448,462,371,431.934559193456,415.44989581912,446.316151561609,0,NA,NA,"1512",""
1513,4.0734,0.01,1.54,0.5244,0,2.2932,408.5,443.5,388,439,483,350,415.217409732695,402.327747880821,430.987732116211,0,NA,NA,"1513",""
1521,7.7284,0.9842,1.6965,0.93,1.0044,14.008,334,187.5,303,153,415,333,255.635127853404,221.214076655047,244.177099595369,0,NA,NA,"1521",""
1523,8.7768,5.04,1.0428,1.3125,1.0044,17.8464,266,187.5,267,57,211,408,161.3551698314,139.262430587793,143.926053422304,0,NA,NA,"1523",""
1524,11.7495,1.4356,2.3302,0.5244,0.69,16.9054,408.5,272,165,76,380,260,190.040575137582,150.911900285944,180.240017309625,0,NA,NA,"1524",""
1525,13.5566111111111,2.65838888888889,10.5138666666667,1.38333333333333,0.94,18.9847333333333,244,199,106,39,311,17,58.7152453711078,42.1490316227158,107.221231457686,0,NA,NA,"1525",""
