"Group","Industry","Professionals","NormalizedProfessionals"
"Without MC","Accounting",298,0.00249648146907044
"With MC","Accounting",18,0.00436575309240844
"Without MC","Airlines/Aviation",372,0.00311641310904095
"With MC","Airlines/Aviation",13,0.00315304390007276
"Without MC","Animation",172,0.00144092219020173
"Without MC","Apparel & Fashion",598,0.00500971784732927
"With MC","Apparel & Fashion",32,0.00776133883094834
"With MC","Architecture & Planning",4,0.000970167353868542
"With MC","Arts & Crafts",5,0.00121270919233568
"Without MC","Automotive",1718,0.0143924669928289
"With MC","Automotive",24,0.00582100412321125
"Without MC","Aviation & Aerospace",1101,0.0092235775082099
"With MC","Aviation & Aerospace",14,0.0033955857385399
"Without MC","Banking",7147,0.0598736679847195
"With MC","Banking",160,0.0388066941547417
"Without MC","Biotechnology",376,0.00314992292741773
"With MC","Biotechnology",10,0.00242541838467136
"Without MC","Broadcast Media",490,0.00410495275115609
"With MC","Broadcast Media",18,0.00436575309240844
"Without MC","Building Materials",185,0.00154982909992628
"Without MC","Capital Markets",1978,0.0165706051873199
"With MC","Capital Markets",42,0.0101867572156197
"Without MC","Chemicals",129,0.0010806916426513
"With MC","Chemicals",5,0.00121270919233568
"Without MC","Civic & Social Organization",264,0.00221164801286777
"With MC","Civic & Social Organization",19,0.00460829493087558
"Without MC","Civil Engineering",308,0.0025802560150124
"With MC","Civil Engineering",7,0.00169779286926995
"Without MC","Computer & Network Security",2186,0.0183131157429127
"With MC","Computer & Network Security",53,0.0128547174387582
"Without MC","Computer Games",2526,0.0211614503049393
"With MC","Computer Games",14,0.0033955857385399
"Without MC","Computer Hardware",376,0.00314992292741773
"Without MC","Computer Networking",1758,0.0147275651765967
"With MC","Computer Networking",35,0.00848896434634975
"Without MC","Computer Software",34900,0.292373165337444
"With MC","Computer Software",1499,0.363570215862236
"Without MC","Construction",628,0.00526104148515515
"With MC","Construction",34,0.00824642250788261
"Without MC","Consumer Electronics",503,0.00421385966088064
"With MC","Consumer Electronics",8,0.00194033470773708
"Without MC","Consumer Goods",267,0.00223678037665036
"With MC","Consumer Goods",9,0.00218287654620422
"Without MC","Consumer Services",324,0.00271429528851954
"With MC","Consumer Services",40,0.00970167353868542
"Without MC","Defense & Space",710,0.00594799276187923
"With MC","Defense & Space",9,0.00218287654620422
"Without MC","Design",919,0.00769888077206622
"With MC","Design",122,0.0295901042929905
"Without MC","E-learning",891,0.00746431204342872
"With MC","E-learning",52,0.0126121756002911
"Without MC","Education Management",494,0.00413846256953287
"With MC","Education Management",18,0.00436575309240844
"Without MC","Electrical & Electronic Manufacturing",1058,0.00886334696065947
"With MC","Electrical & Electronic Manufacturing",20,0.00485083676934271
